constant,sample,mc,ln_a
E_avgLL,1_cLx-202-143-706_symm,8.152330335303674,1.185531582319948
E_avgLL,1_cLx-238-144-023_symm,12.982527190849636,1.6744771696943772
E_avgLL,1_cLx-238-144-110_symm,12.982527190849636,2.2889391947314195
E_avgLL,1_cLx-238-144-460_symm,8.051037014695876,-0.06321113183773974
E_avgLL,1_cLx-238-144-547_symm,13.127687202495727,2.698140550390953
E_avgLL,1_cLx-239-133-375_symm,19.512817518195284,3.5427679103831373
E_avgLL,1_tLx-235-175-035_symm,7.941269007304386,1.6296290481541433
E_avgLL,1_tLx-235-193-474_symm,19.512817518195284,0.25055878369345663
E_avgLL,1_tLx-235-193-585_symm,13.127687202495727,-5.355576456348027
E_avgLL,1_tLx-237-186-033_symm,12.982527190849636,-1.737317434190171
E_avgLL,1_tLx-237-186-256_symm,12.982527190849636,-1.4455125053228741
E_avgLL,1_tLx-237-186-479_symm,8.051037014695876,0.2714383283620254
E_avgLL,1_tLx-237-186-590_symm,8.051037014695876,-1.160074909904985
E_avgRL,1_cR-089-111-430_symm,19.512817518195284,4.953607943725292
E_avgRL,1_cR-089-111-448_symm,13.127687202495727,-0.013659297851278396
E_avgRL,1_cR-089-111-540_symm,11.672626380727799,2.448333429066807
E_avgRL,1_cR-089-111-613_symm,7.941269007304386,3.4668197102267193
E_avgRL,1_cR-089-111-632_symm,7.941269007304386,1.6143233194862958
E_avgRL,1_tR-058-136-233_symm,7.951772997597718,-4.136755758086393
E_avgRL,1_tR-058-136-267_symm,11.993110491986398,1.0615304769154967
E_avgRL,1_tR-058-136-300_symm,11.672626380727799,-0.84103392710165
E_avgRL,1_tR-058-136-700_symm,19.3727152253204,-4.0687174430630115
E_avgRL,1_tR-058-136-733_symm,19.512817518195284,-1.0955732463884313
E_avgRL,1_tR-058-136-867_symm,13.127687202495727,0.11238964527438888
E_avgRR,1_cR-089-111-283_symm,8.152330335303674,1.6640889248453359
E_avgRR,1_cR-089-111-393_symm,19.3727152253204,3.9625617437144385
E_avgRR,1_cR-089-111-412_symm,19.30919511933619,2.879810999495099
E_avgRR,1_cR-089-111-430_symm,19.512817518195284,4.0036763629041445
E_avgRR,1_cR-089-111-448_symm,13.127687202495727,-0.8913701971163803
E_avgRR,1_cR-089-111-540_symm,11.672626380727799,1.4293321444945093
E_avgRR,1_cR-089-111-558_symm,11.993110491986398,1.7535371365927475
E_avgRR,1_cR-089-111-577_symm,13.184797381940328,-0.1262673185332055
E_avgRR,1_cR-089-111-595_symm,13.127687202495727,1.375934695939108
E_avgRR,1_cR-089-111-613_symm,7.941269007304386,0.8773739847224231
E_avgRR,1_cR-089-111-632_symm,7.941269007304386,0.1859377252806187
E_avgRR,1_cR-089-111-668_symm,7.992733684203689,0.1523371573770529
E_avgRR,1_tR-058-136-100_symm,13.184797381940328,-2.2765558307726366
E_avgRR,1_tR-058-136-137_symm,7.992733684203689,-3.614969982765821
E_avgRR,1_tR-058-136-233_symm,7.951772997597718,-1.7300236699462008
E_avgRR,1_tR-058-136-267_symm,11.993110491986398,0.013499561521086889
E_avgRR,1_tR-058-136-300_symm,11.672626380727799,1.134590506866811
E_avgRR,1_tR-058-136-700_symm,19.3727152253204,4.6514424959238205
E_avgRR,1_tR-058-136-733_symm,19.512817518195284,4.988945804992582
E_avgRR,1_tR-061-137-400_symm,20.221325876563263,5.603307214150977
E_avgRT,1_cT-037-178-389_symm,7.992733684203689,-0.3495686887796374
E_avgRT,1_cT-037-178-402_symm,19.3727152253204,4.358594109135851
E_avgRT,1_cT-037-178-429_symm,19.512817518195284,4.7186981579873155
E_avgRT,1_cT-037-178-455_symm,13.184797381940328,-1.4779235658753436
E_avgRT,1_cT-037-178-549_symm,11.993110491986398,-2.468461599687526
E_avgRT,1_cT-037-178-575_symm,11.672626380727799,1.4182086170149066
E_avgRT,1_cT-037-178-602_symm,7.951772997597718,0.41115969909987626
E_avgRT,1_tT-271-176-343_symm,7.992733684203689,-1.0406444124285326
E_avgRT,1_tT-271-176-423_symm,19.3727152253204,4.3822320050573325
E_avgRT,1_tT-271-176-431_symm,19.512817518195284,3.4248869259370984
E_avgRT,1_tT-271-176-445_symm,8.152330335303674,3.5388383374405734
E_avgRT,1_tT-271-176-467_symm,7.941269007304386,-2.853213111948362
E_avgRT,1_tT-271-176-504_symm,13.184797381940328,-3.212253005505705
E_avgRT,1_tT-271-176-511_symm,11.672626380727799,1.372999502773533
E_avgRT,1_tT-271-176-518_symm,11.993110491986398,2.386959475719852
E_avgRT,1_tT-271-176-526_symm,7.951772997597718,1.9750018599447223
E_avgTL,1_cLx-202-143-793_symm,20.221325876563263,6.988215517453931
E_avgTL,1_cLx-238-144-023_symm,12.982527190849636,0.24189241472246792
E_avgTL,1_cLx-238-144-110_symm,12.982527190849636,-2.1917117194318845
E_avgTL,1_cLx-238-144-198_symm,12.982527190849636,1.8383575560967476
E_avgTL,1_cLx-238-144-285_symm,8.051037014695876,1.9467661749650436
E_avgTL,1_cLx-238-144-372_symm,8.051037014695876,-1.3886730719872542
E_avgTL,1_cLx-238-144-460_symm,8.051037014695876,2.979731420330495
E_avgTL,1_cLx-239-133-375_symm,19.512817518195284,7.143196682771219
E_avgTL,1_tLx-235-175-035_symm,7.941269007304386,3.3496922058035636
E_avgTL,1_tLx-235-193-474_symm,19.512817518195284,0.9532642902613109
E_avgTL,1_tLx-235-193-585_symm,13.127687202495727,-1.5183158766376792
E_avgTL,1_tLx-237-186-145_symm,12.982527190849636,-2.2527062598322267
E_avgTL,1_tLx-237-186-367_symm,8.051037014695876,-1.2571871251959799
E_avgTL,1_tLx-237-186-479_symm,8.051037014695876,-1.9287285063979986
E_avgTL,1_tLx-237-186-590_symm,8.051037014695876,0.18224359411371438
E_avgTT,1_cT-037-178-095_symm,20.221325876563263,2.7681744698330597
E_avgTT,1_cT-037-178-109_symm,8.152330335303674,2.346190506001143
E_avgTT,1_cT-037-178-389_symm,7.992733684203689,0.42462207236938276
E_avgTT,1_cT-037-178-402_symm,19.3727152253204,1.7839444794430914
E_avgTT,1_cT-037-178-429_symm,19.512817518195284,3.2580038689378803
E_avgTT,1_cT-037-178-455_symm,13.184797381940328,-1.006422000629227
E_avgTT,1_cT-037-178-549_symm,11.993110491986398,0.8789792824382161
E_avgTT,1_cT-037-178-575_symm,11.672626380727799,0.16690660206786134
E_avgTT,1_cT-037-178-602_symm,7.951772997597718,1.989066215103108
E_avgTT,1_tT-271-176-423_symm,19.3727152253204,3.7336886349469722
E_avgTT,1_tT-271-176-431_symm,19.512817518195284,4.824841737701796
E_avgTT,1_tT-271-176-438_symm,19.30919511933619,4.895252254637288
E_avgTT,1_tT-271-176-445_symm,8.152330335303674,0.5082857127680782
E_avgTT,1_tT-271-176-467_symm,7.941269007304386,-3.1118655043604715
E_avgTT,1_tT-271-176-504_symm,13.184797381940328,-2.3481632436494646
E_avgTT,1_tT-271-176-511_symm,11.672626380727799,1.1587553476403176
E_avgTT,1_tT-271-176-518_symm,11.993110491986398,1.0098859154959534
E_avgTT,1_tT-271-176-526_symm,7.951772997597718,-2.1515809892015643
E_avgTT,1_tT-271-176-591_symm,20.221325876563263,4.6345809735226595
E_cLL,1_cLx-202-143-706,8.152330335303674,-0.6147468810002614
E_cLL,1_cLx-238-144-023,12.982527190849636,-0.17574291772571016
E_cLL,1_cLx-238-144-110,12.982527190849636,0.46921709209440543
E_cLL,1_cLx-238-144-460,8.051037014695876,-2.013364475695006
E_cLL,1_cLx-238-144-547,13.127687202495727,0.9609449729897808
E_cLL,1_cLx-239-133-375,19.512817518195284,1.8061898210595508
E_cRL,1_cR-089-111-430,19.512817518195284,3.338898707026452
E_cRL,1_cR-089-111-448,13.127687202495727,-2.1748447759305556
E_cRL,1_cR-089-111-540,11.672626380727799,0.7043193594283785
E_cRL,1_cR-089-111-613,7.941269007304386,1.8563068761548855
E_cRL,1_cR-089-111-632,7.941269007304386,-0.4950779267626224
E_cRR,1_cR-089-111-283,8.152330335303674,0.866761466492699
E_cRR,1_cR-089-111-393,19.3727152253204,2.909498534013384
E_cRR,1_cR-089-111-412,19.30919511933619,2.012394098983304
E_cRR,1_cR-089-111-430,19.512817518195284,2.927853941356794
E_cRR,1_cR-089-111-448,13.127687202495727,-1.4968376579236633
E_cRR,1_cR-089-111-540,11.672626380727799,0.6608225196024353
E_cRR,1_cR-089-111-558,11.993110491986398,0.9229395557114799
E_cRR,1_cR-089-111-577,13.184797381940328,-0.7875970554114566
E_cRR,1_cR-089-111-595,13.127687202495727,0.583377978960705
E_cRR,1_cR-089-111-613,7.941269007304386,0.17372543385746653
E_cRR,1_cR-089-111-632,7.941269007304386,-0.48459558569390637
E_cRR,1_cR-089-111-668,7.992733684203689,-0.5179839463893998
E_cRT,1_cT-037-178-389,7.992733684203689,0.20660299771437884
E_cRT,1_cT-037-178-402,19.3727152253204,4.671700528730206
E_cRT,1_cT-037-178-429,19.512817518195284,5.087095651417414
E_cRT,1_cT-037-178-455,13.184797381940328,-1.1792871742320088
E_cRT,1_cT-037-178-549,11.993110491986398,-2.171846954711386
E_cRT,1_cT-037-178-575,11.672626380727799,1.9331115442623528
E_cRT,1_cT-037-178-602,7.951772997597718,1.0381000172600245
E_cTL,1_cLx-202-143-793,20.221325876563263,6.705877309263322
E_cTL,1_cLx-238-144-023,12.982527190849636,-1.3592887381786483
E_cTL,1_cLx-238-144-110,12.982527190849636,-2.67266469571989
E_cTL,1_cLx-238-144-198,12.982527190849636,1.6710260670056378
E_cTL,1_cLx-238-144-285,8.051037014695876,1.767699019864203
E_cTL,1_cLx-238-144-372,8.051037014695876,-2.305379814478453
E_cTL,1_cLx-238-144-460,8.051037014695876,2.726328728977755
E_cTL,1_cLx-239-133-375,19.512817518195284,6.912606001594469
E_cTT,1_cT-037-178-095,20.221325876563263,2.1012439285292928
E_cTT,1_cT-037-178-109,8.152330335303674,1.5906792592042578
E_cTT,1_cT-037-178-389,7.992733684203689,-0.4381163459332278
E_cTT,1_cT-037-178-402,19.3727152253204,0.9009112834999708
E_cTT,1_cT-037-178-429,19.512817518195284,2.57723792724612
E_cTT,1_cT-037-178-455,13.184797381940328,-1.6909748920282954
E_cTT,1_cT-037-178-549,11.993110491986398,-0.012406609914023647
E_cTT,1_cT-037-178-575,11.672626380727799,-0.6492731656283741
E_cTT,1_cT-037-178-602,7.951772997597718,1.1814392503438444
E_tLL,1_tLx-235-175-035,7.941269007304386,2.8955088875868604
E_tLL,1_tLx-235-193-474,19.512817518195284,3.553246005855428
E_tLL,1_tLx-235-193-585,13.127687202495727,-4.844448142464179
E_tLL,1_tLx-237-186-033,12.982527190849636,-0.2740019350948337
E_tLL,1_tLx-237-186-256,12.982527190849636,-0.06405995759528871
E_tLL,1_tLx-237-186-479,8.051037014695876,1.8083038142590624
E_tLL,1_tLx-237-186-590,8.051037014695876,0.3411263185589952
E_tRL,1_tR-058-136-233,7.951772997597718,-2.2912375559044698
E_tRL,1_tR-058-136-267,11.993110491986398,2.4670900607855835
E_tRL,1_tR-058-136-300,11.672626380727799,-0.21131343108582
E_tRL,1_tR-058-136-700,19.3727152253204,-2.1957350817079
E_tRL,1_tR-058-136-733,19.512817518195284,0.17563915900344718
E_tRL,1_tR-058-136-867,13.127687202495727,1.5976716196711322
E_tRR,1_tR-058-136-100,13.184797381940328,-1.0257727776522643
E_tRR,1_tR-058-136-137,7.992733684203689,-2.7769749006557074
E_tRR,1_tR-058-136-233,7.951772997597718,-0.4447069485455959
E_tRR,1_tR-058-136-267,11.993110491986398,1.4868935037802054
E_tRR,1_tR-058-136-300,11.672626380727799,2.629487068531521
E_tRR,1_tR-058-136-700,19.3727152253204,6.277826782033884
E_tRR,1_tR-058-136-733,19.512817518195284,6.602045156576448
E_tRR,1_tR-061-137-400,20.221325876563263,7.208545918890994
E_tRT,1_tT-271-176-343,7.992733684203689,-1.42649122285947
E_tRT,1_tT-271-176-423,19.3727152253204,3.879696666336592
E_tRT,1_tT-271-176-431,19.512817518195284,3.0569330105218135
E_tRT,1_tT-271-176-445,8.152330335303674,3.1695203518659554
E_tRT,1_tT-271-176-467,7.941269007304386,-2.918523443019067
E_tRT,1_tT-271-176-504,13.184797381940328,-3.2995551035062753
E_tRT,1_tT-271-176-511,11.672626380727799,0.7918677272013035
E_tRT,1_tT-271-176-518,11.993110491986398,1.9909215787375594
E_tRT,1_tT-271-176-526,7.951772997597718,1.5287608014263352
E_tTL,1_tLx-235-175-035,7.941269007304386,3.4324749272428505
E_tTL,1_tLx-235-193-474,19.512817518195284,1.2248868072692254
E_tTL,1_tLx-235-193-585,13.127687202495727,-0.7685629346050717
E_tTL,1_tLx-237-186-145,12.982527190849636,-1.6337170290178946
E_tTL,1_tLx-237-186-367,8.051037014695876,-0.46039548483280157
E_tTL,1_tLx-237-186-479,8.051037014695876,-1.328733589735723
E_tTL,1_tLx-237-186-590,8.051037014695876,0.6953852299892223
E_tTT,1_tT-271-176-423,19.3727152253204,4.6854400140693855
E_tTT,1_tT-271-176-431,19.512817518195284,5.626000881781767
E_tTT,1_tT-271-176-438,19.30919511933619,5.810336415996076
E_tTT,1_tT-271-176-445,8.152330335303674,1.5443881120604335
E_tTT,1_tT-271-176-467,7.941269007304386,-2.7160451679259836
E_tTT,1_tT-271-176-504,13.184797381940328,-1.8027978157887734
E_tTT,1_tT-271-176-511,11.672626380727799,2.2256171779211513
E_tTT,1_tT-271-176-518,11.993110491986398,2.0912534965982914
E_tTT,1_tT-271-176-526,7.951772997597718,-1.5642961097635304
E_tTT,1_tT-271-176-591,20.221325876563263,5.627932171956985
G_LR,1_sLR-119-150-091,12.982527190849636,-1.2371821444018583
G_LR,1_sLR-119-150-165,8.051037014695876,-0.8374713422654558
G_LR,1_sLR-119-150-239,19.91783138662233,0.054784432538692585
G_LR,1_sLR-119-150-535,8.152330335303674,0.5132715487307564
G_LR,1_sLR-119-150-831,7.941269007304386,0.9988216026078582
G_LR,1_sLR-122-150-132,7.879396358396934,-0.5682537875225382
G_LR,1_sLR-122-150-206,7.9805963919235365,1.4547630207333988
G_LR,1_sLR-122-150-354,7.992733684203689,0.7125164878938754
G_LR,1_sLR-122-150-428,11.672626380727799,1.266799953300481
G_LR,1_sLR-122-150-576,11.993110491986398,1.1304190349039942
G_LR,1_sLR-122-150-650,19.3727152253204,2.405378825536758
G_LR,1_sLR-122-150-798,19.512817518195284,3.7009911468102814
G_LR,1_sLR-122-150-872,13.184797381940328,-3.642029483905434
G_LT,1_sLT-012-145-024,7.941269007304386,1.2132294033273716
G_LT,1_sLT-012-145-098,8.051037014695876,0.29946433442676934
G_LT,1_sLT-012-145-172,19.91783138662233,2.331611687909664
G_LT,1_sLT-012-145-690,8.152330335303674,-2.122726683096431
G_LT,1_sLT-012-153-025,7.879396358396934,-1.4907990344207356
G_LT,1_sLT-012-153-099,7.9805963919235365,0.17041179604900414
G_LT,1_sLT-012-153-173,7.951772997597718,0.8162252984540626
G_LT,1_sLT-012-153-247,13.184797381940328,-1.3069073728820584
G_LT,1_sLT-012-153-395,11.672626380727799,0.6992001568647641
G_LT,1_sLT-012-153-469,7.992733684203689,0.4911749940675012
G_LT,1_sLT-012-153-543,19.3727152253204,2.627725690508573
G_LT,1_sLT-012-153-765,11.672626380727799,0.8393158761584658
G_LT,1_sLT-012-153-839,19.512817518195284,4.168922847035688
G_LT,1_sLT-012-153-913,12.982527190849636,0.30159210422097615
G_RL,1_sRL-033-120-046,20.221325876563263,1.4781570022278956
G_RL,1_sRL-037-121-048,7.879396358396934,0.11802331184493298
G_RL,1_sRL-037-121-086,7.9805963919235365,1.6524087304674016
G_RL,1_sRL-037-121-124,7.951772997597718,0.35401899843010654
G_RL,1_sRL-037-121-162,7.992733684203689,0.4044024193560425
G_RL,1_sRL-037-121-200,13.184797381940328,-2.1632020068918276
G_RL,1_sRL-037-121-238,11.672626380727799,0.2552984673308991
G_RL,1_sRL-037-121-276,11.993110491986398,-0.5570787138032074
G_RL,1_sRL-037-121-390,19.3727152253204,1.5930715036320926
G_RL,1_sRL-037-121-428,19.512817518195284,0.9560730359664813
G_RL,1_sRL-037-121-542,12.982527190849636,-1.0542797846398297
G_RL,1_sRL-037-121-580,7.941269007304386,-0.04528441512782244
G_RL,1_sRL-037-121-618,8.051037014695876,0.13409144583744492
G_RL,1_sRL-037-121-656,19.91783138662233,2.467067679118742
G_RL,1_sRL-037-121-808,8.152330335303674,0.8646345285139496
G_RT,1_sRT-271-111-530,11.672626380727799,3.0842476312836844
G_RT,1_sRT-271-111-537,11.993110491986398,2.750488313061741
G_RT,1_sRT-271-111-544,13.184797381940328,-3.7650282918631657
G_RT,1_sRT-271-111-552,7.992733684203689,-2.4206297055216552
G_RT,1_sRT-271-111-559,7.951772997597718,2.466461388009236
G_RT,1_sRT-271-111-566,7.9805963919235365,-0.4941022093757894
G_RT,1_sRT-271-111-573,7.879396358396934,-3.366153931814525
G_RT,1_sRT-271-111-588,19.3727152253204,7.478565754826413
G_RT,1_sRT-271-111-595,19.30919511933619,7.958722610837377
G_RT,1_sRT-271-111-603,19.512817518195284,11.298001460497716
G_RT,1_sRT-271-111-610,12.982527190849636,-2.745058895911269
G_RT,1_sRT-271-111-617,7.941269007304386,2.601761297382403
G_RT,1_sRT-271-111-625,8.051037014695876,-2.339248431307439
G_RT,1_sRT-271-111-697,20.221325876563263,12.389806680770246
G_RT,1_sRT-271-111-727,8.152330335303674,4.008266202220685
G_TL,1_sTL-094-174-420,20.221325876563263,2.677177325408877
G_TL,1_sTL-095-182-003,8.152330335303674,-0.5465849468681192
G_TL,1_sTL-095-182-079,7.992733684203689,0.320627906401878
G_TL,1_sTL-095-182-193,7.941269007304386,-1.6016341334002675
G_TL,1_sTL-095-182-421,19.3727152253204,1.863403184393901
G_TL,1_sTL-095-182-459,8.051037014695876,-0.6955991180912697
G_TL,1_sTL-095-182-497,12.982527190849636,-1.0860320951455193
G_TL,1_sTL-095-182-535,19.30919511933619,1.7353152713722295
G_TL,1_sTL-095-182-573,19.512817518195284,4.3713344180618705
G_TL,1_sTL-095-182-725,11.993110491986398,1.0568742224725494
G_TL,1_sTL-095-182-763,11.993110491986398,0.7560348652850717
G_TL,1_sTL-095-182-801,7.879396358396934,1.2716962561980871
G_TL,1_sTL-095-182-839,7.9805963919235365,0.48742028689316896
G_TR,1_sTR-271-129-354,8.152330335303674,1.3787926105278103
G_TR,1_sTR-271-129-376,7.941269007304386,1.577255817426158
G_TR,1_sTR-271-129-405,12.982527190849636,0.8572604814209424
G_TR,1_sTR-271-129-412,19.512817518195284,8.369955963810487
G_TR,1_sTR-271-129-419,19.30919511933619,9.826951359556123
G_TR,1_sTR-271-129-427,19.3727152253204,5.530414808594514
G_TR,1_sTR-271-129-449,7.879396358396934,1.5570288762179416
G_TR,1_sTR-271-129-456,7.9805963919235365,-3.265742794197271
G_TR,1_sTR-271-129-463,7.951772997597718,1.570674609471638
G_TR,1_sTR-271-129-471,7.992733684203689,-0.9684854082088847
G_TR,1_sTR-271-129-478,13.184797381940328,-1.4254262496180807
G_TR,1_sTR-271-129-485,11.993110491986398,-2.1244680277718864
G_TR,1_sTR-271-129-492,11.672626380727799,0.597269312571612
G_avgRL,1_sLR-119-150-091_symm,12.982527190849636,-1.6200261004574443
G_avgRL,1_sLR-119-150-165_symm,8.051037014695876,-1.1851286787375432
G_avgRL,1_sLR-119-150-239_symm,19.91783138662233,-0.3433532418953327
G_avgRL,1_sLR-119-150-535_symm,8.152330335303674,0.11137983985631372
G_avgRL,1_sLR-119-150-831_symm,7.941269007304386,0.5796414292448038
G_avgRL,1_sLR-122-150-132_symm,7.879396358396934,-0.9646136851651868
G_avgRL,1_sLR-122-150-206_symm,7.9805963919235365,1.0008136176151794
G_avgRL,1_sLR-122-150-354_symm,7.992733684203689,0.2957356339931998
G_avgRL,1_sLR-122-150-428_symm,11.672626380727799,0.8213043724532838
G_avgRL,1_sLR-122-150-576_symm,11.993110491986398,0.6867621545179059
G_avgRL,1_sLR-122-150-650_symm,19.3727152253204,1.9843039807597833
G_avgRL,1_sLR-122-150-798_symm,19.512817518195284,3.0460342743122837
G_avgRL,1_sLR-122-150-872_symm,13.184797381940328,-4.040047381993373
G_avgRL,1_sRL-033-120-046_symm,20.221325876563263,1.8955815316748712
G_avgRL,1_sRL-037-121-048_symm,7.879396358396934,0.5155650206510263
G_avgRL,1_sRL-037-121-086_symm,7.9805963919235365,2.129651868153225
G_avgRL,1_sRL-037-121-124_symm,7.951772997597718,0.7593992471614293
G_avgRL,1_sRL-037-121-162_symm,7.992733684203689,0.8069235595980331
G_avgRL,1_sRL-037-121-200_symm,13.184797381940328,-1.9267200493565255
G_avgRL,1_sRL-037-121-238_symm,11.672626380727799,0.6498367823038969
G_avgRL,1_sRL-037-121-276_symm,11.993110491986398,-0.21775886384645204
G_avgRL,1_sRL-037-121-390_symm,19.3727152253204,2.024451971888098
G_avgRL,1_sRL-037-121-428_symm,19.512817518195284,1.3674400020785171
G_avgRL,1_sRL-037-121-542_symm,12.982527190849636,-0.730451522741788
G_avgRL,1_sRL-037-121-580_symm,7.941269007304386,0.3240857231272418
G_avgRL,1_sRL-037-121-618_symm,8.051037014695876,0.5118482577102412
G_avgRL,1_sRL-037-121-656_symm,19.91783138662233,3.1289812716972136
G_avgRL,1_sRL-037-121-808_symm,8.152330335303674,1.275655289379209
G_avgRT,1_sRT-271-111-530_symm,11.672626380727799,2.6633728367091685
G_avgRT,1_sRT-271-111-537_symm,11.993110491986398,2.3983435104256614
G_avgRT,1_sRT-271-111-544_symm,13.184797381940328,-3.8066644194482127
G_avgRT,1_sRT-271-111-552_symm,7.992733684203689,-2.3628058153300486
G_avgRT,1_sRT-271-111-559_symm,7.951772997597718,2.0591335706528113
G_avgRT,1_sRT-271-111-566_symm,7.9805963919235365,-0.935579214849799
G_avgRT,1_sRT-271-111-573_symm,7.879396358396934,-3.3616194802331627
G_avgRT,1_sRT-271-111-588_symm,19.3727152253204,6.62119008266383
G_avgRT,1_sRT-271-111-595_symm,19.30919511933619,7.101276827797147
G_avgRT,1_sRT-271-111-603_symm,19.512817518195284,10.160094132204062
G_avgRT,1_sRT-271-111-610_symm,12.982527190849636,-2.777509241491945
G_avgRT,1_sRT-271-111-617_symm,7.941269007304386,2.0956507120083785
G_avgRT,1_sRT-271-111-625_symm,8.051037014695876,-2.365258846219902
G_avgRT,1_sRT-271-111-697_symm,20.221325876563263,11.276321561826645
G_avgRT,1_sRT-271-111-727_symm,8.152330335303674,3.362762464094935
G_avgRT,1_sTR-271-129-354_symm,8.152330335303674,1.6286408410924214
G_avgRT,1_sTR-271-129-376_symm,7.941269007304386,1.779682850978059
G_avgRT,1_sTR-271-129-405_symm,12.982527190849636,1.1664375895448362
G_avgRT,1_sTR-271-129-412_symm,19.512817518195284,9.652846258846182
G_avgRT,1_sTR-271-129-419_symm,19.30919511933619,11.50690412957345
G_avgRT,1_sTR-271-129-427_symm,19.3727152253204,6.523970805403984
G_avgRT,1_sTR-271-129-449_symm,7.879396358396934,2.10502934112516
G_avgRT,1_sTR-271-129-456_symm,7.9805963919235365,-3.272971450771699
G_avgRT,1_sTR-271-129-463_symm,7.951772997597718,2.0270331552197227
G_avgRT,1_sTR-271-129-471_symm,7.992733684203689,-0.632517862725301
G_avgRT,1_sTR-271-129-478_symm,13.184797381940328,-1.1221737978364068
G_avgRT,1_sTR-271-129-485_symm,11.993110491986398,-2.0182275695438427
G_avgRT,1_sTR-271-129-492_symm,11.672626380727799,0.9183719279539098
G_avgTL,1_sLT-012-145-024_symm,7.941269007304386,1.1741951009332041
G_avgTL,1_sLT-012-145-098_symm,8.051037014695876,0.2859401245128179
G_avgTL,1_sLT-012-145-172_symm,19.91783138662233,2.3289432402558603
G_avgTL,1_sLT-012-145-690_symm,8.152330335303674,-2.0839145044495506
G_avgTL,1_sLT-012-153-025_symm,7.879396358396934,-1.3254687103716005
G_avgTL,1_sLT-012-153-099_symm,7.9805963919235365,0.128826383397449
G_avgTL,1_sLT-012-153-173_symm,7.951772997597718,0.7574982799630448
G_avgTL,1_sLT-012-153-247_symm,13.184797381940328,-1.1502726072283984
G_avgTL,1_sLT-012-153-395_symm,11.672626380727799,0.6225587833219279
G_avgTL,1_sLT-012-153-469_symm,7.992733684203689,0.4486180870454497
G_avgTL,1_sLT-012-153-543_symm,19.3727152253204,2.662618062231772
G_avgTL,1_sLT-012-153-765_symm,11.672626380727799,0.769220685553142
G_avgTL,1_sLT-012-153-839_symm,19.512817518195284,3.9744911563483356
G_avgTL,1_sLT-012-153-913_symm,12.982527190849636,0.2508667189630902
G_avgTL,1_sTL-094-174-420_symm,20.221325876563263,2.6256751503454794
G_avgTL,1_sTL-095-182-003_symm,8.152330335303674,-0.5971660316116285
G_avgTL,1_sTL-095-182-079_symm,7.992733684203689,0.388856327719175
G_avgTL,1_sTL-095-182-193_symm,7.941269007304386,-1.6884432934755758
G_avgTL,1_sTL-095-182-421_symm,19.3727152253204,1.8658614713489001
G_avgTL,1_sTL-095-182-459_symm,8.051037014695876,-0.7955742263854315
G_avgTL,1_sTL-095-182-497_symm,12.982527190849636,-1.169386206339798
G_avgTL,1_sTL-095-182-535_symm,19.30919511933619,1.842145489728889
G_avgTL,1_sTL-095-182-573_symm,19.512817518195284,4.478047571184241
G_avgTL,1_sTL-095-182-725_symm,11.993110491986398,1.1248846783552757
G_avgTL,1_sTL-095-182-763_symm,11.993110491986398,0.8348160792400403
G_avgTL,1_sTL-095-182-801_symm,7.879396358396934,1.3239825723053986
G_avgTL,1_sTL-095-182-839_symm,7.9805963919235365,0.5691736956916706
