rh,type,tau_0,tau_1,tau_2,tau_3,g_0,g_1,g_2,g_3,Std_g_0,Std_g_1,Std_g_2,Std_g_3,R2
35.0,cL_exx,7200.0,72000.0,720000.0,7200000.0,0.269397551,0.068173723,0.3047242015,0.871338295,0.24527564378017214,0.11807861992631938,0.21790174650548316,0.8739894081422244,0.6269474465294392
35.0,cL_eyy,7200.0,72000.0,720000.0,7200000.0,1e-06,0.116543256389815,0.04244045875,0.3696039615,0.0,0.16481562433133992,0.06001845814402352,0.522697520846561,0.42446044841324465
35.0,cR_exx,7200.0,72000.0,720000.0,7200000.0,0.75741514,0.8332612260000001,2.70412732,1.0554921350000002,1.0711453491211542,0.12808050836116486,0.46778659008891,1.4926898780815716,0.8205535142019577
35.0,cR_eyy,7200.0,72000.0,720000.0,7200000.0,0.2207631415,0.25849746554999997,0.5188743567499999,0.5764727625,0.06549629852503948,0.2220556341588513,0.32897717829765055,0.3882193265263515,0.9818276838543644
35.0,cT_exx,7200.0,72000.0,720000.0,7200000.0,0.2086423985,1.05171494e-06,0.549665215,0.6671634504999999,0.29506349543118954,7.313596952531095e-08,0.06298572462459555,0.7089798780585326,0.7919582501490443
35.0,cT_eyy,7200.0,72000.0,720000.0,7200000.0,0.38929519333333334,0.82217611,0.6086249566666666,0.7250374266666667,0.2249172280847726,0.49607897757138747,0.3191647589182465,0.5525953481556695,0.9768656194196256
35.0,sLR_exy,7200.0,72000.0,720000.0,7200000.0,0.09724174233333333,0.14130974986747666,0.20412930709999996,0.27228102316666664,0.09072553202647932,0.1059627513345751,0.0943982190264741,0.24640844570396586,0.8949002485716177
35.0,sLT_exy,7200.0,72000.0,720000.0,7200000.0,0.10605480999999999,0.12990348185714284,0.18779719882857143,0.3489886178571429,0.07504716119041434,0.06641129490510182,0.11548103046840023,0.190111430916867,0.8402286301430065
35.0,sRL_exy,7200.0,72000.0,720000.0,7200000.0,0.23540697285714285,0.07949544571428571,0.20728560571428575,0.36177515000000005,0.08057210611222444,0.06275871378886543,0.08994134588022923,0.18609234184473417,0.9377381221261223
35.0,sRT_exy,7200.0,72000.0,720000.0,7200000.0,0.16454780128571428,0.1302116112857143,0.10234969720812,0.17115260847941718,0.12114935605926368,0.09550555251347102,0.11544031269460571,0.1986668194359386,0.8511747568214789
35.0,sTL_exy,7200.0,72000.0,720000.0,7200000.0,0.13894601783333335,0.067397742296315,0.22066001646666664,0.32271795416666665,0.08098076174314503,0.0705039899326683,0.10958338346984502,0.2557476325154672,0.7879427977811799
35.0,sTR_exy,7200.0,72000.0,720000.0,7200000.0,0.20395238883333333,0.09731745906476168,0.14802772379999998,0.204797116294675,0.07725489233576477,0.13728775910786545,0.06774612456840565,0.2546710321256246,0.9476030446497004
35.0,tL_exx,7200.0,72000.0,720000.0,7200000.0,0.0305534725,0.1604852187,0.2344675367,1.22320019525,0.061104945,0.18386243944342537,0.33453512047320283,0.3577944319144888,0.8049560516218324
35.0,tL_eyy,7200.0,72000.0,720000.0,7200000.0,1e-06,0.0947222607,0.10877335623333333,0.09658231547656666,0.0,0.0487846655235602,0.04642787512135416,0.09661307516374958,0.6586127393597372
35.0,tR_exx,7200.0,72000.0,720000.0,7200000.0,0.00797666299,0.135363707,0.432373539,1e-06,,,,,0.1988343615328914
35.0,tR_eyy,7200.0,72000.0,720000.0,7200000.0,0.17400500749999998,0.1067891983393,3.94169962e-06,0.640427985,0.24607882731376973,0.15091421621163512,4.067649408160873e-06,0.26309256670941294,0.7834225251114162
35.0,tT_exx,7200.0,72000.0,720000.0,7200000.0,0.1054233675,0.49807554002499993,0.40978655934999997,0.894929746,0.12425553383288901,0.4994811651140469,0.39892309924922315,1.336289072219926,0.7305679090062588
35.0,tT_eyy,7200.0,72000.0,720000.0,7200000.0,0.5555986996666668,0.01941035893335333,0.08487600761774666,1.3906965753333331,0.28896463045079174,0.016887448633494805,0.10191757255658312,0.9574668845690829,0.9103496906818226
65.0,cL_exx,7200.0,72000.0,720000.0,7200000.0,1e-06,0.054787802,0.27977767233333334,1.054332508,0.0,0.09489352464821617,0.1956897178812188,0.197896453038663,0.8448190014353413
65.0,cL_eyy,7200.0,72000.0,720000.0,7200000.0,0.055716085,0.1070423246,0.12687570696666664,0.15158336526133334,0.09650135796801865,0.08626010186324738,0.057590870826651645,0.1530066010798716,0.8286882681127049
65.0,cR_exx,7200.0,72000.0,720000.0,7200000.0,1.7643978875,0.4523529075,0.8835304345,1e-06,1.3034362376689572,0.6397222025518398,1.051722151853899,0.0,0.1492467760485151
65.0,cR_eyy,7200.0,72000.0,720000.0,7200000.0,0.275074321,0.23866964799999998,0.405321591,0.9707671720000001,0.17782642984466965,0.24142672416308705,0.18938344729767342,0.2960115700194796,0.9687057415616163
65.0,cT_exx,7200.0,72000.0,720000.0,7200000.0,0.049746657310666666,0.03963872353333333,0.6639168000000001,0.14124576932416666,0.08575820905858555,0.045236589545704954,0.45732221023375746,0.24459058471016729,0.6763288020444747
65.0,cT_eyy,7200.0,72000.0,720000.0,7200000.0,0.4240101233333333,0.23938530333333333,0.5384527266666667,0.9790766833333334,0.15428911988481153,0.31633540578132213,0.3392197234586228,0.39803071653728234,0.9816240618533527
65.0,sLR_exy,7200.0,72000.0,720000.0,7200000.0,0.22869084950000002,0.0506727297,0.0651583553337275,0.31906346910990246,0.08804594144405777,0.053281742737907554,0.11000874123547447,0.4207936355958635,0.8705930206635861
65.0,sLT_exy,7200.0,72000.0,720000.0,7200000.0,0.24131507575,0.090694109325,9.7356569025e-06,0.6872495165000001,0.059470619264152515,0.06524404103017026,9.858169849646955e-06,0.3346897613902444,0.7733733155906879
65.0,sRL_exy,7200.0,72000.0,720000.0,7200000.0,0.221177911,0.01107482351951,0.12316462350000001,0.38540808075,0.02245993116788682,0.02214713765490161,0.08711997237178729,0.15298012295158578,0.9213023206506369
65.0,sRT_exy,7200.0,72000.0,720000.0,7200000.0,0.24940266325,0.049545009075,0.062793016625,0.2844195553791,0.09326367703753653,0.018228472201864323,0.042060439693798225,0.34377773151648633,0.9095483165350444
65.0,sTL_exy,7200.0,72000.0,720000.0,7200000.0,0.21702076766666667,0.056485932233333334,0.18140787008676,0.33299276466666666,0.008558486983748713,0.03512796793784989,0.15826637229424845,0.16990717221005378,0.845847080702309
65.0,sTR_exy,7200.0,72000.0,720000.0,7200000.0,0.25303989525,0.0315746425,0.099748223525,0.11169368297500001,0.08993729557146408,0.03773084635122689,0.0653844621641082,0.06748216946034974,0.8909858941887023
65.0,tL_exx,7200.0,72000.0,720000.0,7200000.0,1e-06,0.06001988565,0.1642083305,0.259754511,0.0,0.04652357257103032,0.03459204203777383,0.36734693813022895,0.5313923895761465
65.0,tL_eyy,7200.0,72000.0,720000.0,7200000.0,1e-06,0.06486968813333333,1.0617836366666667e-06,0.13876144286666667,0.0,0.045371897124857175,9.52172226770244e-08,0.08195819130997269,0.03887241577731534
65.0,tR_exx,7200.0,72000.0,720000.0,7200000.0,0.481720519,0.44096884513024337,0.6235721633333333,4.1848549937865664,0.4258167378073021,0.7637786902807285,0.5412604879139961,4.558262598353665,0.5696208904323704
65.0,tR_eyy,7200.0,72000.0,720000.0,7200000.0,0.305350961,0.17572821666666663,0.29736192856666666,0.3371088646666667,0.10646391094401235,0.192163198646563,0.40205034165339115,0.41472396052440574,0.8141038064819538
65.0,tT_exx,7200.0,72000.0,720000.0,7200000.0,0.035148882666666666,0.29509385179685,0.5957998285516667,1.033204886,0.060877918557136146,0.5111141933236858,0.5172247230050396,1.279787547667514,0.7656558156333465
65.0,tT_eyy,7200.0,72000.0,720000.0,7200000.0,0.6050635606666667,0.2906185176666667,0.348278178,0.7072999393333333,0.12033426766954598,0.3724536074108066,0.49394955399061735,1.084118842067574,0.8795633498128262
90.0,cL_exx,7200.0,72000.0,720000.0,7200000.0,0.43705338061777,2.178147256,3.9007667350000004,1e-06,0.6180746642662018,2.04129037141733,2.226411253415301,0.0,0.9760078095121631
90.0,cL_eyy,7200.0,72000.0,720000.0,7200000.0,0.0828534924,0.153244066,0.162119523,1e-06,,,,,0.8887141612897002
90.0,cR_exx,7200.0,72000.0,720000.0,7200000.0,1.84049901,2.53036392,1.0155501,1e-06,,,,,0.8103585305122755
90.0,cR_eyy,7200.0,72000.0,720000.0,7200000.0,0.4483572136666667,0.3996780106666667,1.6399588266666667,0.008023036666666667,0.09351654893485231,0.19870038816894858,0.3111071473455669,0.00947535076949837,0.9794765500217545
90.0,cT_exx,7200.0,72000.0,720000.0,7200000.0,0.14934864949999999,1.461501295,1.5095327699999999,1.0307895799999998e-06,0.025127160384723544,0.09751598603579029,0.13874712081726884,4.354304161577146e-08,0.9442309065243375
90.0,cT_eyy,7200.0,72000.0,720000.0,7200000.0,0.7331542990000001,0.5161000473333334,1.2594332936666666,0.19207286666666665,0.021838753266258615,0.4530434796516297,0.2587325726283967,0.33267823177126166,0.9669152606988014
90.0,sLR_exy,7200.0,72000.0,720000.0,7200000.0,0.22076294233333335,0.19400239840802666,0.21438742410599998,0.39758825866666664,0.03565770640960696,0.17307775893809713,0.1949360246904427,0.40056138764025057,0.9216563114923523
90.0,sLT_exy,7200.0,72000.0,720000.0,7200000.0,0.29752070466666664,0.2075014953333333,0.455503976,0.12101888333333333,0.04830755925619329,0.17223697838342916,0.020581886482724257,0.16689421611682423,0.9646013568355422
90.0,sRL_exy,7200.0,72000.0,720000.0,7200000.0,0.25145484375,0.11462578500000001,0.29511770475,0.6268759772500001,0.025362009680642887,0.1061047124322866,0.13883083017222805,0.626779006556087,0.9460717312927691
90.0,sRT_exy,7200.0,72000.0,720000.0,7200000.0,0.9076818659999999,0.30081404,0.25847110725,0.031087460446250003,0.4534906589446761,0.06748811987388165,0.12641336136408385,0.05865955664464171,0.9826300385460673
90.0,sTL_exy,7200.0,72000.0,720000.0,7200000.0,0.21618087922499998,0.2587732135,0.43647145425,0.1055703299675,0.12448774789392512,0.13412440473963994,0.15135101817434804,0.19196505197039762,0.9086852760498758
90.0,sTR_exy,7200.0,72000.0,720000.0,7200000.0,0.9020238273333333,0.3341721553333333,0.3881772076666667,1e-06,0.39939847183425914,0.04795663945382714,0.2017877359977572,0.0,0.9824841784233248
90.0,tL_exx,7200.0,72000.0,720000.0,7200000.0,0.239128716,1.16093811e-06,0.101731623,1.17112788,,,,,0.9109509799337948
90.0,tL_eyy,7200.0,72000.0,720000.0,7200000.0,0.146141612,0.0350927715,1.12839134e-06,0.023748936,,,,,0.7457454669010721
90.0,tR_exx,7200.0,72000.0,720000.0,7200000.0,0.260250547,0.2232236185,0.625692594,2.1477993399999997e-05,0.36804843896885425,0.1717091502025464,0.6583837524776618,2.8960255996466725e-05,0.430681175356244
90.0,tR_eyy,7200.0,72000.0,720000.0,7200000.0,0.8118485213333333,0.991922335,1.2985395413333334,8.056118133333333e-05,0.13475505940640414,0.329504352922846,0.5321524845900936,0.00013780400837953388,0.9945256172591762
90.0,tT_exx,7200.0,72000.0,720000.0,7200000.0,0.25466353,0.78675989,1.40060301,1.83488294,0.02711951081535579,0.1431199540049402,0.2143316597044726,2.57078695660313,0.9915427013470173
90.0,tT_eyy,7200.0,72000.0,720000.0,7200000.0,0.89252283625,1.2677633592500002,1.38164546575,1e-06,0.1427926380716586,0.39948180079991935,0.46121132015362337,0.0,0.9873566268309742
